TIMESTAMP: 10.900000, X: -0.264101, Y: 9.814129, Z: -6.569080, PITCH: -0.212118, YAW: -2.225719
TIMESTAMP: 11.000000, X: -0.326386, Y: 9.711186, Z: -6.508226, PITCH: -0.211704, YAW: -2.221624
TIMESTAMP: 11.100000, X: -0.390099, Y: 9.611217, Z: -6.443039, PITCH: -0.211363, YAW: -2.219928
TIMESTAMP: 11.200000, X: -0.455181, Y: 9.514124, Z: -6.373637, PITCH: -0.211242, YAW: -2.225566
TIMESTAMP: 11.300000, X: -0.521553, Y: 9.419802, Z: -6.300160, PITCH: -0.211096, YAW: -2.230383
TIMESTAMP: 11.400000, X: -0.589119, Y: 9.328136, Z: -6.222771, PITCH: -0.210838, YAW: -2.231441
TIMESTAMP: 11.500000, X: -0.657769, Y: 9.239001, Z: -6.141656, PITCH: -0.210591, YAW: -2.232886
TIMESTAMP: 11.600000, X: -0.727378, Y: 9.152266, Z: -6.057021, PITCH: -0.210404, YAW: -2.236324
TIMESTAMP: 11.700000, X: -0.797805, Y: 9.067790, Z: -5.969091, PITCH: -0.210211, YAW: -2.239561
TIMESTAMP: 11.800000, X: -0.868898, Y: 8.985422, Z: -5.878110, PITCH: -0.209986, YAW: -2.241733
TIMESTAMP: 11.900000, X: -0.940493, Y: 8.905005, Z: -5.784337, PITCH: -0.209765, YAW: -2.244010
TIMESTAMP: 12.000000, X: -1.012417, Y: 8.826370, Z: -5.688047, PITCH: -0.209560, YAW: -2.246861
TIMESTAMP: 12.100000, X: -1.084488, Y: 8.749342, Z: -5.589529, PITCH: -0.209353, YAW: -2.249657
TIMESTAMP: 12.200000, X: -1.156516, Y: 8.673736, Z: -5.489080, PITCH: -0.209138, YAW: -2.252141
TIMESTAMP: 12.300000, X: -1.228308, Y: 8.599360, Z: -5.387011, PITCH: -0.208924, YAW: -2.254648
TIMESTAMP: 12.400000, X: -1.299667, Y: 8.526014, Z: -5.283638, PITCH: -0.208713, YAW: -2.257335
TIMESTAMP: 12.500000, X: -1.370393, Y: 8.453489, Z: -5.179282, PITCH: -0.208502, YAW: -2.260022
TIMESTAMP: 12.600000, X: -1.440289, Y: 8.381571, Z: -5.074270, PITCH: -0.208290, YAW: -2.262588
TIMESTAMP: 12.700000, X: -1.509156, Y: 8.310040, Z: -4.968929, PITCH: -0.208083, YAW: -2.265099
TIMESTAMP: 12.800000, X: -1.576801, Y: 8.238671, Z: -4.863588, PITCH: -0.207880, YAW: -2.267625
TIMESTAMP: 12.900000, X: -1.643034, Y: 8.167236, Z: -4.758571, PITCH: -0.207676, YAW: -2.270160
TIMESTAMP: 13.000000, X: -1.707672, Y: 8.095504, Z: -4.654200, PITCH: -0.207472, YAW: -2.272672
TIMESTAMP: 13.100000, X: -1.770540, Y: 8.023243, Z: -4.550791, PITCH: -0.207268, YAW: -2.275173
TIMESTAMP: 13.200000, X: -1.831470, Y: 7.950222, Z: -4.448651, PITCH: -0.207064, YAW: -2.277704
TIMESTAMP: 13.300000, X: -1.890307, Y: 7.876213, Z: -4.348079, PITCH: -0.206857, YAW: -2.280255
TIMESTAMP: 13.400000, X: -1.946904, Y: 7.800990, Z: -4.249361, PITCH: -0.206654, YAW: -2.282758
TIMESTAMP: 13.500000, X: -2.001129, Y: 7.724337, Z: -4.152769, PITCH: -0.206454, YAW: -2.285224
TIMESTAMP: 13.600000, X: -2.052860, Y: 7.646041, Z: -4.058564, PITCH: -0.206248, YAW: -2.287774
TIMESTAMP: 13.700000, X: -2.101993, Y: 7.565902, Z: -3.966985, PITCH: -0.206035, YAW: -2.290395
TIMESTAMP: 13.800000, X: -2.148435, Y: 7.483731, Z: -3.878258, PITCH: -0.205835, YAW: -2.292860
TIMESTAMP: 13.900000, X: -2.192111, Y: 7.399350, Z: -3.792587, PITCH: -0.205647, YAW: -2.295187
TIMESTAMP: 14.000000, X: -2.232960, Y: 7.312597, Z: -3.710155, PITCH: -0.205434, YAW: -2.297812
TIMESTAMP: 14.100000, X: -2.270940, Y: 7.223326, Z: -3.631125, PITCH: -0.205198, YAW: -2.300730
TIMESTAMP: 14.200000, X: -2.306024, Y: 7.131407, Z: -3.555635, PITCH: -0.205010, YAW: -2.303047
TIMESTAMP: 14.300000, X: -2.338203, Y: 7.036730, Z: -3.483799, PITCH: -0.204901, YAW: -2.304390
TIMESTAMP: 14.400000, X: -2.367486, Y: 6.939204, Z: -3.415709, PITCH: -0.204748, YAW: -2.306279
TIMESTAMP: 14.500000, X: -2.393897, Y: 6.838757, Z: -3.351428, PITCH: -0.204370, YAW: -2.310947
TIMESTAMP: 14.600000, X: -2.417481, Y: 6.735337, Z: -3.290995, PITCH: -0.203733, YAW: -2.318798
TIMESTAMP: 14.700000, X: -2.438299, Y: 6.628915, Z: -3.234422, PITCH: -0.202995, YAW: -2.327906
TIMESTAMP: 14.800000, X: -2.456428, Y: 6.519481, Z: -3.181694, PITCH: -0.202305, YAW: -2.336417
TIMESTAMP: 14.900000, X: -2.471965, Y: 6.407044, Z: -3.132770, PITCH: -0.201661, YAW: -2.344364
TIMESTAMP: 15.000000, X: -2.485020, Y: 6.291635, Z: -3.087581, PITCH: -0.200998, YAW: -2.352553
TIMESTAMP: 15.100000, X: -2.495723, Y: 6.173300, Z: -3.046035, PITCH: -0.200311, YAW: -2.361026
TIMESTAMP: 15.200000, X: -2.504217, Y: 6.052105, Z: -3.008011, PITCH: -0.199634, YAW: -2.369377
TIMESTAMP: 15.300000, X: -2.510660, Y: 5.928132, Z: -2.973363, PITCH: -0.198969, YAW: -2.377589
TIMESTAMP: 15.400000, X: -2.515225, Y: 5.801476, Z: -2.941923, PITCH: -0.198298, YAW: -2.385865
TIMESTAMP: 15.500000, X: -2.518097, Y: 5.672247, Z: -2.913498, PITCH: -0.197622, YAW: -2.394198
TIMESTAMP: 15.600000, X: -2.519476, Y: 5.540565, Z: -2.887871, PITCH: -0.196949, YAW: -2.402493
TIMESTAMP: 15.700000, X: -2.519571, Y: 5.406560, Z: -2.864807, PITCH: -0.196278, YAW: -2.410793
TIMESTAMP: 15.800000, X: -2.518602, Y: 5.270372, Z: -2.844048, PITCH: -0.195605, YAW: -2.419118
TIMESTAMP: 15.900000, X: -2.516798, Y: 5.132143, Z: -2.825322, PITCH: -0.194933, YAW: -2.427376
TIMESTAMP: 16.000000, X: -2.514397, Y: 4.992024, Z: -2.808336, PITCH: -0.194262, YAW: -2.435613
TIMESTAMP: 16.100000, X: -2.511642, Y: 4.850166, Z: -2.792787, PITCH: -0.193587, YAW: -2.444001
TIMESTAMP: 16.200000, X: -2.508783, Y: 4.706721, Z: -2.778355, PITCH: -0.192911, YAW: -2.452399
TIMESTAMP: 16.300000, X: -2.506072, Y: 4.561841, Z: -2.764714, PITCH: -0.192244, YAW: -2.460552
TIMESTAMP: 16.400000, X: -2.503766, Y: 4.415675, Z: -2.751526, PITCH: -0.191566, YAW: -2.468950
TIMESTAMP: 16.500000, X: -2.502119, Y: 4.268370, Z: -2.738452, PITCH: -0.190828, YAW: -2.478253
TIMESTAMP: 16.600000, X: -2.501389, Y: 4.120065, Z: -2.725146, PITCH: -0.190013, YAW: -2.487984
